"";"ETP em 24 horas (mm)";"ETP em 7 dias (mm)";"ETP em 14 dias (mm)";"ETP em 28 dias (mm)"
"sem_código_REDE_Codigo_29";3,11097692307692;21,3515153846154;41,5463307692308;82,5083653846154
"sem_código_REDE_Codigo_40";1,69673846153846;12,3295;25,9288538461538;52,6229576923077
"sem_código_REDE_Codigo_41";1,70664615384615;12,3307;25,7249230769231;52,0459711538462
"sem_código_REDE_Codigo_42";1,96356923076923;14,1232769230769;29,2735384615385;59,0613442307692
"sem_código_REDE_Codigo_43";2,05913846153846;14,7210076923077;30,2517153846154;60,8347230769231
"sem_código_REDE_Codigo_44";1,91978461538462;13,8932;28,9820153846154;58,4407
"sem_código_REDE_Codigo_45";2,08923846153846;14,9152076923077;30,5782153846154;61,4048230769231
"sem_código_REDE_Codigo_53";1,83280769230769;13,2219307692308;27,5574615384615;55,8230673076923
"sem_código_REDE_Codigo_54";1,76961538461538;12,7831076923077;26,6793461538462;54,0342653846154
"sem_código_REDE_Codigo_55";1,72153076923077;12,4421923076923;26,0059923076923;52,7552673076923
"sem_código_REDE_Codigo_56";1,63067692307692;11,8377153846154;24,8781153846154;50,5281153846154
"sem_código_REDE_Codigo_57";1,60589230769231;11,6400461538462;24,4348846153846;49,6726673076923
"sem_código_REDE_Codigo_58";1,51877692307692;11,0930615384615;23,4997846153846;47,8452634615385
"sem_código_REDE_Codigo_59";1,68412307692308;12,2034692307692;25,6059461538462;52,0404980769231
"sem_código_REDE_Codigo_60";2,11805384615385;15,1964076923077;31,3753076923077;63,1728076923077
"sem_código_REDE_Codigo_61";1,73854615384615;12,6502076923077;26,6538153846154;54,1402923076923
"sem_código_sureg-pa";1,04857692307692;7,80354615384615;16,9553;34,8639788461538
